,site_id,building_id,primary_use,square_feet,year_built,floor_count,site_name
0,0,0,Education,7432,2008,,"University of Central Florida, Orlando, FL"
1,0,1,Education,2720,2004,,"University of Central Florida, Orlando, FL"
2,0,2,Education,5376,1991,,"University of Central Florida, Orlando, FL"
3,0,3,Education,23685,2002,,"University of Central Florida, Orlando, FL"
4,0,4,Education,116607,1975,,"University of Central Florida, Orlando, FL"
5,0,5,Education,8000,2000,,"University of Central Florida, Orlando, FL"
6,0,6,Lodging/residential,27926,1981,,"University of Central Florida, Orlando, FL"
7,0,7,Education,121074,1989,,"University of Central Florida, Orlando, FL"
8,0,8,Education,60809,2003,,"University of Central Florida, Orlando, FL"
9,0,9,Office,27000,2010,,"University of Central Florida, Orlando, FL"
10,0,10,Entertainment/public assembly,370773,1991,,"University of Central Florida, Orlando, FL"
11,0,11,Education,49073,1968,,"University of Central Florida, Orlando, FL"
12,0,12,Lodging/residential,37100,1999,,"University of Central Florida, Orlando, FL"
13,0,13,Education,99380,2000,,"University of Central Florida, Orlando, FL"
14,0,14,Education,86250,2013,,"University of Central Florida, Orlando, FL"
15,0,15,Office,83957,1974,,"University of Central Florida, Orlando, FL"
16,0,16,Education,54644,1996,,"University of Central Florida, Orlando, FL"
17,0,17,Office,15250,1980,,"University of Central Florida, Orlando, FL"
18,0,18,Education,111891,1996,,"University of Central Florida, Orlando, FL"
19,0,19,Office,18717,2004,,"University of Central Florida, Orlando, FL"
20,0,20,Education,110272,1977,,"University of Central Florida, Orlando, FL"
21,0,21,Office,7043,1990,,"University of Central Florida, Orlando, FL"
22,0,22,Education,3569,1996,,"University of Central Florida, Orlando, FL"
23,0,23,Education,130885,1985,,"University of Central Florida, Orlando, FL"
24,0,24,Education,105545,2001,,"University of Central Florida, Orlando, FL"
25,0,25,Office,103286,1969,,"University of Central Florida, Orlando, FL"
26,0,26,Office,26953,2005,,"University of Central Florida, Orlando, FL"
27,0,27,Lodging/residential,59200,1999,,"University of Central Florida, Orlando, FL"
28,0,28,Office,52957,2016,,"University of Central Florida, Orlando, FL"
29,0,29,Education,113866,2006,,"University of Central Florida, Orlando, FL"
30,0,30,Education,93897,1999,,"University of Central Florida, Orlando, FL"
31,0,31,Education,61904,2001,,"University of Central Florida, Orlando, FL"
32,0,32,Office,48392,2005,,"University of Central Florida, Orlando, FL"
33,0,33,Lodging/residential,38686,2002,,"University of Central Florida, Orlando, FL"
34,0,34,Lodging/residential,42731,2002,,"University of Central Florida, Orlando, FL"
35,0,35,Lodging/residential,41617,2002,,"University of Central Florida, Orlando, FL"
36,0,36,Lodging/residential,53130,2002,,"University of Central Florida, Orlando, FL"
37,0,37,Lodging/residential,53130,2002,,"University of Central Florida, Orlando, FL"
